[2020/08/28 10:22:25] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18/', 'seed': 42}
[2020/08/28 10:22:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 10:22:38] - 1 	 10.3 	 	 0.0020 	 1.7757 	 0.3456
[2020/08/28 10:22:39] - == Test loss: 1.3517, Test acc: 0.5067
[2020/08/28 10:22:51] - 2 	 10.1 	 	 0.0040 	 1.2000 	 0.5670
[2020/08/28 10:23:01] - 3 	 10.0 	 	 0.0060 	 0.9333 	 0.6690
[2020/08/28 10:23:11] - 4 	 10.1 	 	 0.0080 	 0.7614 	 0.7325
[2020/08/28 10:23:21] - 5 	 10.1 	 	 0.0100 	 0.6445 	 0.7779
[2020/08/28 10:23:31] - 6 	 10.1 	 	 0.0120 	 0.5739 	 0.8021
[2020/08/28 10:23:41] - 7 	 10.2 	 	 0.0140 	 0.5232 	 0.8205
[2020/08/28 10:23:52] - 8 	 10.2 	 	 0.0160 	 0.4777 	 0.8342
[2020/08/28 10:24:02] - 9 	 10.1 	 	 0.0180 	 0.4450 	 0.8454
[2020/08/28 10:24:12] - 10 	 10.2 	 	 0.0200 	 0.4106 	 0.8591
[2020/08/28 10:24:22] - 11 	 10.2 	 	 0.0220 	 0.3890 	 0.8652
[2020/08/28 10:24:32] - 12 	 10.2 	 	 0.0240 	 0.3657 	 0.8739
[2020/08/28 10:24:42] - 13 	 10.2 	 	 0.0260 	 0.3543 	 0.8783
[2020/08/28 10:24:53] - 14 	 10.2 	 	 0.0280 	 0.3303 	 0.8861
[2020/08/28 10:25:03] - 15 	 10.2 	 	 0.0300 	 0.3150 	 0.8908
[2020/08/28 10:25:13] - 16 	 10.2 	 	 0.0320 	 0.3025 	 0.8957
[2020/08/28 10:25:23] - 17 	 10.2 	 	 0.0340 	 0.2916 	 0.8995
[2020/08/28 10:25:33] - 18 	 10.2 	 	 0.0360 	 0.2880 	 0.8998
[2020/08/28 10:25:44] - 19 	 10.2 	 	 0.0380 	 0.2725 	 0.9065
[2020/08/28 10:25:54] - 20 	 10.2 	 	 0.0400 	 0.2634 	 0.9087
[2020/08/28 10:26:04] - 21 	 10.2 	 	 0.0420 	 0.2579 	 0.9101
[2020/08/28 10:26:14] - 22 	 10.2 	 	 0.0440 	 0.2519 	 0.9130
[2020/08/28 10:26:24] - 23 	 10.2 	 	 0.0460 	 0.2474 	 0.9140
[2020/08/28 10:26:35] - 24 	 10.2 	 	 0.0480 	 0.2458 	 0.9143
[2020/08/28 10:26:45] - 25 	 10.2 	 	 0.0500 	 0.2413 	 0.9152
[2020/08/28 10:26:55] - 26 	 10.2 	 	 0.0520 	 0.2475 	 0.9151
