[2020/08/29 15:34:50] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_2', 'seed': 42}
[2020/08/29 15:34:53] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 15:35:04] - 1 	 11.3 	 	 0.0020 	 2.1074 	 0.2111
[2020/08/29 15:35:05] - == Test loss: 1.7679, Test acc: 0.3520
[2020/08/29 15:35:18] - 2 	 11.1 	 	 0.0040 	 1.6059 	 0.4111
[2020/08/29 15:35:29] - 3 	 11.1 	 	 0.0060 	 1.3511 	 0.5100
[2020/08/29 15:35:40] - 4 	 11.1 	 	 0.0080 	 1.1317 	 0.5937
[2020/08/29 15:35:51] - 5 	 11.1 	 	 0.0100 	 0.9689 	 0.6553
[2020/08/29 15:36:02] - 6 	 11.2 	 	 0.0120 	 0.8352 	 0.7065
[2020/08/29 15:36:14] - 7 	 11.2 	 	 0.0140 	 0.7583 	 0.7342
[2020/08/29 15:36:25] - 8 	 11.2 	 	 0.0160 	 0.6904 	 0.7595
[2020/08/29 15:36:36] - 9 	 11.2 	 	 0.0180 	 0.6346 	 0.7798
[2020/08/29 15:36:47] - 10 	 11.2 	 	 0.0200 	 0.5941 	 0.7923
[2020/08/29 15:36:58] - 11 	 11.1 	 	 0.0220 	 0.5623 	 0.8033
[2020/08/29 15:37:09] - 12 	 11.2 	 	 0.0240 	 0.5399 	 0.8113
[2020/08/29 15:37:21] - 13 	 11.2 	 	 0.0260 	 0.5145 	 0.8202
[2020/08/29 15:37:32] - 14 	 11.2 	 	 0.0280 	 0.4864 	 0.8289
[2020/08/29 15:37:43] - 15 	 11.2 	 	 0.0300 	 0.4723 	 0.8363
[2020/08/29 15:37:54] - 16 	 11.1 	 	 0.0320 	 0.4533 	 0.8415
[2020/08/29 15:38:05] - 17 	 11.2 	 	 0.0340 	 0.4363 	 0.8474
[2020/08/29 15:38:16] - 18 	 11.2 	 	 0.0360 	 0.4196 	 0.8542
[2020/08/29 15:38:27] - 19 	 11.1 	 	 0.0380 	 0.4010 	 0.8604
[2020/08/29 15:38:39] - 20 	 11.1 	 	 0.0400 	 0.3917 	 0.8629
[2020/08/29 15:38:50] - 21 	 11.2 	 	 0.0420 	 0.3788 	 0.8661
[2020/08/29 15:39:01] - 22 	 11.1 	 	 0.0440 	 0.3751 	 0.8702
[2020/08/29 15:39:12] - 23 	 11.2 	 	 0.0460 	 0.3657 	 0.8735
[2020/08/29 15:39:23] - 24 	 11.2 	 	 0.0480 	 0.3601 	 0.8746
[2020/08/29 15:39:34] - 25 	 11.1 	 	 0.0500 	 0.3532 	 0.8768
[2020/08/29 15:39:45] - 26 	 11.2 	 	 0.0520 	 0.3483 	 0.8791
[2020/08/29 15:39:57] - 27 	 11.2 	 	 0.0540 	 0.3495 	 0.8797
[2020/08/29 15:40:08] - 28 	 11.1 	 	 0.0560 	 0.3459 	 0.8801
[2020/08/29 15:40:19] - 29 	 11.2 	 	 0.0580 	 0.3427 	 0.8805
[2020/08/29 15:40:30] - 30 	 11.2 	 	 0.0600 	 0.3440 	 0.8805
[2020/08/29 15:40:41] - 31 	 11.2 	 	 0.0620 	 0.3480 	 0.8790
[2020/08/29 15:40:52] - 32 	 11.2 	 	 0.0640 	 0.3454 	 0.8821
[2020/08/29 15:41:04] - 33 	 11.1 	 	 0.0660 	 0.3500 	 0.8794
[2020/08/29 15:41:15] - 34 	 11.2 	 	 0.0680 	 0.3535 	 0.8779
[2020/08/29 15:41:26] - 35 	 11.2 	 	 0.0700 	 0.3498 	 0.8776
[2020/08/29 15:41:37] - 36 	 11.1 	 	 0.0720 	 0.3407 	 0.8813
[2020/08/29 15:41:48] - 37 	 11.1 	 	 0.0740 	 0.3559 	 0.8771
[2020/08/29 15:41:59] - 38 	 11.1 	 	 0.0760 	 0.3466 	 0.8807
[2020/08/29 15:42:10] - 39 	 11.1 	 	 0.0780 	 0.3513 	 0.8790
[2020/08/29 15:42:22] - 40 	 11.2 	 	 0.0800 	 0.3548 	 0.8771
[2020/08/29 15:42:33] - 41 	 11.2 	 	 0.0820 	 0.3544 	 0.8784
[2020/08/29 15:42:44] - 42 	 11.2 	 	 0.0840 	 0.3485 	 0.8807
[2020/08/29 15:42:55] - 43 	 11.2 	 	 0.0860 	 0.3515 	 0.8779
[2020/08/29 15:43:06] - 44 	 11.1 	 	 0.0880 	 0.3557 	 0.8766
[2020/08/29 15:43:17] - 45 	 11.2 	 	 0.0900 	 0.3543 	 0.8780
[2020/08/29 15:43:29] - 46 	 11.2 	 	 0.0920 	 0.3536 	 0.8792
[2020/08/29 15:43:40] - 47 	 11.1 	 	 0.0940 	 0.3569 	 0.8776
[2020/08/29 15:43:51] - 48 	 11.2 	 	 0.0960 	 0.3553 	 0.8777
[2020/08/29 15:44:02] - 49 	 11.2 	 	 0.0980 	 0.3607 	 0.8752
[2020/08/29 15:44:13] - 50 	 11.1 	 	 0.1000 	 0.3520 	 0.8788
[2020/08/29 15:44:24] - 51 	 11.1 	 	 0.1020 	 0.3585 	 0.8761
[2020/08/29 15:44:35] - 52 	 11.1 	 	 0.1040 	 0.3638 	 0.8745
[2020/08/29 15:44:47] - 53 	 11.2 	 	 0.1060 	 0.3554 	 0.8774
[2020/08/29 15:44:58] - 54 	 11.2 	 	 0.1080 	 0.3678 	 0.8727
[2020/08/29 15:45:09] - 55 	 11.1 	 	 0.1100 	 0.3674 	 0.8731
[2020/08/29 15:45:20] - 56 	 11.2 	 	 0.1120 	 0.3652 	 0.8736
