[2020/09/15 14:42:14] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_4_0/', 'seed': 0}
[2020/09/15 14:42:16] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:42:27] - 1 	 10.5 	 	 0.0020 	 2.1164 	 0.2045
[2020/09/15 14:42:27] - == Test loss: 2.0214, Test acc: 0.2769
[2020/09/15 14:42:39] - 2 	 10.3 	 	 0.0040 	 1.6637 	 0.3867
[2020/09/15 14:42:49] - 3 	 10.3 	 	 0.0060 	 1.4426 	 0.4742
[2020/09/15 14:43:00] - 4 	 10.3 	 	 0.0080 	 1.2886 	 0.5341
[2020/09/15 14:43:10] - 5 	 10.3 	 	 0.0100 	 1.1576 	 0.5861
[2020/09/15 14:43:20] - 6 	 10.3 	 	 0.0120 	 1.0539 	 0.6260
[2020/09/15 14:43:31] - 7 	 10.4 	 	 0.0140 	 0.9686 	 0.6590
[2020/09/15 14:43:41] - 8 	 10.4 	 	 0.0160 	 0.8979 	 0.6848
[2020/09/15 14:43:52] - 9 	 10.4 	 	 0.0180 	 0.8366 	 0.7051
[2020/09/15 14:44:02] - 10 	 10.4 	 	 0.0200 	 0.7904 	 0.7233
[2020/09/15 14:44:12] - 11 	 10.4 	 	 0.0220 	 0.7494 	 0.7390
[2020/09/15 14:44:23] - 12 	 10.4 	 	 0.0240 	 0.7120 	 0.7504
[2020/09/15 14:44:33] - 13 	 10.4 	 	 0.0260 	 0.6754 	 0.7650
[2020/09/15 14:44:43] - 14 	 10.4 	 	 0.0280 	 0.6431 	 0.7728
[2020/09/15 14:44:54] - 15 	 10.4 	 	 0.0300 	 0.6204 	 0.7807
[2020/09/15 14:45:04] - 16 	 10.4 	 	 0.0320 	 0.5928 	 0.7915
[2020/09/15 14:45:15] - 17 	 10.4 	 	 0.0340 	 0.5713 	 0.8001
[2020/09/15 14:45:25] - 18 	 10.4 	 	 0.0360 	 0.5543 	 0.8052
[2020/09/15 14:45:36] - 19 	 10.4 	 	 0.0380 	 0.5327 	 0.8132
