[2020/08/29 17:27:53] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_ffx_8', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'FFX', 'block_size': 8, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_ffx_8/', 'seed': 42}
[2020/08/29 17:27:56] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 17:28:08] - 1 	 11.3 	 	 0.0020 	 2.1433 	 0.2015
[2020/08/29 17:28:08] - == Test loss: 1.9106, Test acc: 0.3155
[2020/08/29 17:28:21] - 2 	 11.1 	 	 0.0040 	 1.7556 	 0.3577
[2020/08/29 17:28:32] - 3 	 11.1 	 	 0.0060 	 1.5869 	 0.4197
[2020/08/29 17:28:43] - 4 	 11.1 	 	 0.0080 	 1.4677 	 0.4664
[2020/08/29 17:28:55] - 5 	 11.1 	 	 0.0100 	 1.3652 	 0.5079
[2020/08/29 17:29:06] - 6 	 11.2 	 	 0.0120 	 1.2887 	 0.5374
[2020/08/29 17:29:17] - 7 	 11.2 	 	 0.0140 	 1.2133 	 0.5660
[2020/08/29 17:29:28] - 8 	 11.1 	 	 0.0160 	 1.1280 	 0.5977
[2020/08/29 17:29:39] - 9 	 11.2 	 	 0.0180 	 1.0591 	 0.6238
[2020/08/29 17:29:50] - 10 	 11.2 	 	 0.0200 	 1.0028 	 0.6411
[2020/08/29 17:30:02] - 11 	 11.1 	 	 0.0220 	 0.9441 	 0.6633
[2020/08/29 17:30:13] - 12 	 11.2 	 	 0.0240 	 0.8917 	 0.6856
[2020/08/29 17:30:24] - 13 	 11.1 	 	 0.0260 	 0.8555 	 0.6987
[2020/08/29 17:30:35] - 14 	 11.1 	 	 0.0280 	 0.8133 	 0.7127
[2020/08/29 17:30:46] - 15 	 11.2 	 	 0.0300 	 0.7772 	 0.7255
[2020/08/29 17:30:57] - 16 	 11.1 	 	 0.0320 	 0.7434 	 0.7357
[2020/08/29 17:31:09] - 17 	 11.1 	 	 0.0340 	 0.7235 	 0.7455
[2020/08/29 17:31:20] - 18 	 11.2 	 	 0.0360 	 0.6873 	 0.7568
[2020/08/29 17:31:31] - 19 	 11.1 	 	 0.0380 	 0.6692 	 0.7620
[2020/08/29 17:31:42] - 20 	 11.2 	 	 0.0400 	 0.6479 	 0.7712
[2020/08/29 17:31:53] - 21 	 11.2 	 	 0.0420 	 0.6193 	 0.7801
[2020/08/29 17:32:04] - 22 	 11.1 	 	 0.0440 	 0.6118 	 0.7863
[2020/08/29 17:32:16] - 23 	 11.2 	 	 0.0460 	 0.5906 	 0.7944
[2020/08/29 17:32:27] - 24 	 11.2 	 	 0.0480 	 0.5693 	 0.8015
[2020/08/29 17:32:38] - 25 	 11.1 	 	 0.0500 	 0.5669 	 0.8016
[2020/08/29 17:32:49] - 26 	 11.2 	 	 0.0520 	 0.5541 	 0.8076
[2020/08/29 17:33:00] - 27 	 11.1 	 	 0.0540 	 0.5422 	 0.8103
[2020/08/29 17:33:11] - 28 	 11.1 	 	 0.0560 	 0.5322 	 0.8135
[2020/08/29 17:33:23] - 29 	 11.2 	 	 0.0580 	 0.5313 	 0.8124
[2020/08/29 17:33:34] - 30 	 11.2 	 	 0.0600 	 0.5143 	 0.8200
[2020/08/29 17:33:45] - 31 	 11.1 	 	 0.0620 	 0.5221 	 0.8186
[2020/08/29 17:33:56] - 32 	 11.2 	 	 0.0640 	 0.5160 	 0.8197
[2020/08/29 17:34:07] - 33 	 11.1 	 	 0.0660 	 0.5187 	 0.8195
[2020/08/29 17:34:18] - 34 	 11.2 	 	 0.0680 	 0.5118 	 0.8194
[2020/08/29 17:34:29] - 35 	 11.2 	 	 0.0700 	 0.5104 	 0.8214
[2020/08/29 17:34:41] - 36 	 11.1 	 	 0.0720 	 0.5007 	 0.8242
[2020/08/29 17:34:52] - 37 	 11.2 	 	 0.0740 	 0.4983 	 0.8261
[2020/08/29 17:35:03] - 38 	 11.1 	 	 0.0760 	 0.4974 	 0.8269
[2020/08/29 17:35:14] - 39 	 11.1 	 	 0.0780 	 0.4938 	 0.8275
[2020/08/29 17:35:25] - 40 	 11.2 	 	 0.0800 	 0.4934 	 0.8274
[2020/08/29 17:35:36] - 41 	 11.2 	 	 0.0820 	 0.4953 	 0.8271
[2020/08/29 17:35:48] - 42 	 11.2 	 	 0.0840 	 0.4893 	 0.8299
[2020/08/29 17:35:59] - 43 	 11.2 	 	 0.0860 	 0.4886 	 0.8290
[2020/08/29 17:36:10] - 44 	 11.1 	 	 0.0880 	 0.4890 	 0.8283
[2020/08/29 17:36:21] - 45 	 11.2 	 	 0.0900 	 0.4876 	 0.8307
[2020/08/29 17:36:32] - 46 	 11.2 	 	 0.0920 	 0.4920 	 0.8293
[2020/08/29 17:36:43] - 47 	 11.1 	 	 0.0940 	 0.4882 	 0.8301
[2020/08/29 17:36:54] - 48 	 11.1 	 	 0.0960 	 0.4888 	 0.8279
[2020/08/29 17:37:06] - 49 	 11.2 	 	 0.0980 	 0.4883 	 0.8295
[2020/08/29 17:37:17] - 50 	 11.2 	 	 0.1000 	 0.4923 	 0.8289
[2020/08/29 17:37:28] - 51 	 11.2 	 	 0.1020 	 0.4873 	 0.8298
[2020/08/29 17:37:39] - 52 	 11.1 	 	 0.1040 	 0.4897 	 0.8295
[2020/08/29 17:37:50] - 53 	 11.2 	 	 0.1060 	 0.4927 	 0.8262
[2020/08/29 17:38:01] - 54 	 11.2 	 	 0.1080 	 0.4907 	 0.8292
[2020/08/29 17:38:13] - 55 	 11.1 	 	 0.1100 	 0.4894 	 0.8296
[2020/08/29 17:38:24] - 56 	 11.2 	 	 0.1120 	 0.4941 	 0.8273
[2020/08/29 17:38:35] - 57 	 11.2 	 	 0.1140 	 0.4833 	 0.8320
[2020/08/29 17:38:46] - 58 	 11.1 	 	 0.1160 	 0.4938 	 0.8285
[2020/08/29 17:38:57] - 59 	 11.2 	 	 0.1180 	 0.4907 	 0.8292
[2020/08/29 17:39:08] - 60 	 11.2 	 	 0.1200 	 0.4988 	 0.8279
[2020/08/29 17:39:20] - 61 	 11.1 	 	 0.1220 	 0.4985 	 0.8249
[2020/08/29 17:39:31] - 62 	 11.2 	 	 0.1240 	 0.4985 	 0.8282
[2020/08/29 17:39:42] - 63 	 11.1 	 	 0.1260 	 0.5007 	 0.8252
[2020/08/29 17:39:53] - 64 	 11.2 	 	 0.1280 	 0.5054 	 0.8229
[2020/08/29 17:40:04] - 65 	 11.2 	 	 0.1300 	 0.4963 	 0.8294
[2020/08/29 17:40:15] - 66 	 11.1 	 	 0.1320 	 0.4977 	 0.8281
[2020/08/29 17:40:26] - 67 	 11.1 	 	 0.1340 	 0.5063 	 0.8248
[2020/08/29 17:40:38] - 68 	 11.2 	 	 0.1360 	 0.5060 	 0.8254
[2020/08/29 17:40:49] - 69 	 11.1 	 	 0.1380 	 0.5094 	 0.8233
[2020/08/29 17:41:00] - 70 	 11.1 	 	 0.1400 	 0.5027 	 0.8267
[2020/08/29 17:41:11] - 71 	 11.2 	 	 0.1420 	 0.5116 	 0.8223
[2020/08/29 17:41:22] - 72 	 11.1 	 	 0.1440 	 0.5077 	 0.8226
[2020/08/29 17:41:33] - 73 	 11.2 	 	 0.1460 	 0.5144 	 0.8206
[2020/08/29 17:41:45] - 74 	 11.1 	 	 0.1480 	 0.5118 	 0.8229
[2020/08/29 17:41:56] - 75 	 11.2 	 	 0.1500 	 0.5161 	 0.8212
[2020/08/29 17:42:07] - 76 	 11.2 	 	 0.1520 	 0.5123 	 0.8236
[2020/08/29 17:42:18] - 77 	 11.1 	 	 0.1540 	 0.5145 	 0.8214
[2020/08/29 17:42:29] - 78 	 11.2 	 	 0.1560 	 0.5126 	 0.8229
[2020/08/29 17:42:40] - 79 	 11.2 	 	 0.1580 	 0.5237 	 0.8184
[2020/08/29 17:42:52] - 80 	 11.1 	 	 0.1600 	 0.5162 	 0.8226
[2020/08/29 17:43:03] - 81 	 11.1 	 	 0.1620 	 0.5199 	 0.8183
[2020/08/29 17:43:14] - 82 	 11.2 	 	 0.1640 	 0.5189 	 0.8191
[2020/08/29 17:43:25] - 83 	 11.1 	 	 0.1660 	 0.5238 	 0.8196
[2020/08/29 17:43:36] - 84 	 11.2 	 	 0.1680 	 0.5257 	 0.8185
[2020/08/29 17:43:47] - 85 	 11.1 	 	 0.1700 	 0.5245 	 0.8173
[2020/08/29 17:43:58] - 86 	 11.2 	 	 0.1720 	 0.5270 	 0.8186
[2020/08/29 17:44:10] - 87 	 11.1 	 	 0.1740 	 0.5244 	 0.8168
[2020/08/29 17:44:21] - 88 	 11.1 	 	 0.1760 	 0.5323 	 0.8158
[2020/08/29 17:44:32] - 89 	 11.1 	 	 0.1780 	 0.5269 	 0.8165
[2020/08/29 17:44:43] - 90 	 11.2 	 	 0.1800 	 0.5318 	 0.8167
[2020/08/29 17:44:54] - 91 	 11.1 	 	 0.1820 	 0.5344 	 0.8154
[2020/08/29 17:45:05] - 92 	 11.2 	 	 0.1840 	 0.5324 	 0.8165
[2020/08/29 17:45:17] - 93 	 11.2 	 	 0.1860 	 0.5347 	 0.8161
[2020/08/29 17:45:28] - 94 	 11.1 	 	 0.1880 	 0.5331 	 0.8144
[2020/08/29 17:45:39] - 95 	 11.2 	 	 0.1900 	 0.5431 	 0.8137
[2020/08/29 17:45:50] - 96 	 11.1 	 	 0.1920 	 0.5340 	 0.8170
[2020/08/29 17:46:01] - 97 	 11.1 	 	 0.1940 	 0.5433 	 0.8125
[2020/08/29 17:46:12] - 98 	 11.2 	 	 0.1960 	 0.5445 	 0.8108
[2020/08/29 17:46:23] - 99 	 11.1 	 	 0.1980 	 0.5380 	 0.8125
[2020/08/29 17:46:35] - 100 	 11.2 	 	 0.2000 	 0.5469 	 0.8104
[2020/08/29 17:46:36] - == Test loss: 0.7466, Test acc: 0.7358
[2020/08/29 17:46:48] - 101 	 11.2 	 	 0.1980 	 0.5397 	 0.8139
[2020/08/29 17:47:00] - 102 	 11.1 	 	 0.1960 	 0.5452 	 0.8137
[2020/08/29 17:47:11] - 103 	 11.2 	 	 0.1940 	 0.5421 	 0.8136
[2020/08/29 17:47:22] - 104 	 11.2 	 	 0.1920 	 0.5344 	 0.8142
[2020/08/29 17:47:33] - 105 	 11.2 	 	 0.1900 	 0.5315 	 0.8168
[2020/08/29 17:47:44] - 106 	 11.2 	 	 0.1880 	 0.5283 	 0.8156
[2020/08/29 17:47:55] - 107 	 11.1 	 	 0.1860 	 0.5317 	 0.8154
[2020/08/29 17:48:07] - 108 	 11.2 	 	 0.1840 	 0.5329 	 0.8165
[2020/08/29 17:48:18] - 109 	 11.2 	 	 0.1820 	 0.5266 	 0.8182
[2020/08/29 17:48:29] - 110 	 11.1 	 	 0.1800 	 0.5282 	 0.8172
[2020/08/29 17:48:40] - 111 	 11.2 	 	 0.1780 	 0.5260 	 0.8173
[2020/08/29 17:48:51] - 112 	 11.2 	 	 0.1760 	 0.5241 	 0.8188
[2020/08/29 17:49:02] - 113 	 11.1 	 	 0.1740 	 0.5123 	 0.8219
[2020/08/29 17:49:14] - 114 	 11.2 	 	 0.1720 	 0.5202 	 0.8201
[2020/08/29 17:49:25] - 115 	 11.1 	 	 0.1700 	 0.5202 	 0.8198
[2020/08/29 17:49:36] - 116 	 11.1 	 	 0.1680 	 0.5146 	 0.8225
[2020/08/29 17:49:47] - 117 	 11.2 	 	 0.1660 	 0.5120 	 0.8245
[2020/08/29 17:49:58] - 118 	 11.1 	 	 0.1640 	 0.5124 	 0.8238
[2020/08/29 17:50:09] - 119 	 11.2 	 	 0.1620 	 0.5094 	 0.8237
[2020/08/29 17:50:20] - 120 	 11.1 	 	 0.1600 	 0.5061 	 0.8249
[2020/08/29 17:50:32] - 121 	 11.1 	 	 0.1580 	 0.5052 	 0.8246
[2020/08/29 17:50:43] - 122 	 11.1 	 	 0.1560 	 0.5035 	 0.8256
[2020/08/29 17:50:54] - 123 	 11.1 	 	 0.1540 	 0.5069 	 0.8242
[2020/08/29 17:51:05] - 124 	 11.1 	 	 0.1520 	 0.4952 	 0.8279
[2020/08/29 17:51:16] - 125 	 11.1 	 	 0.1500 	 0.4978 	 0.8297
[2020/08/29 17:51:27] - 126 	 11.1 	 	 0.1480 	 0.4955 	 0.8294
[2020/08/29 17:51:38] - 127 	 11.2 	 	 0.1460 	 0.4939 	 0.8296
[2020/08/29 17:51:49] - 128 	 11.2 	 	 0.1440 	 0.4868 	 0.8300
[2020/08/29 17:52:01] - 129 	 11.1 	 	 0.1420 	 0.4846 	 0.8334
[2020/08/29 17:52:12] - 130 	 11.2 	 	 0.1400 	 0.4873 	 0.8302
[2020/08/29 17:52:23] - 131 	 11.2 	 	 0.1380 	 0.4800 	 0.8333
[2020/08/29 17:52:34] - 132 	 11.1 	 	 0.1360 	 0.4761 	 0.8351
[2020/08/29 17:52:45] - 133 	 11.1 	 	 0.1340 	 0.4754 	 0.8357
[2020/08/29 17:52:56] - 134 	 11.2 	 	 0.1320 	 0.4771 	 0.8344
[2020/08/29 17:53:07] - 135 	 11.1 	 	 0.1300 	 0.4658 	 0.8394
[2020/08/29 17:53:19] - 136 	 11.2 	 	 0.1280 	 0.4620 	 0.8388
[2020/08/29 17:53:30] - 137 	 11.2 	 	 0.1260 	 0.4675 	 0.8390
[2020/08/29 17:53:41] - 138 	 11.2 	 	 0.1240 	 0.4651 	 0.8389
[2020/08/29 17:53:52] - 139 	 11.2 	 	 0.1220 	 0.4573 	 0.8415
[2020/08/29 17:54:03] - 140 	 11.1 	 	 0.1200 	 0.4562 	 0.8425
[2020/08/29 17:54:14] - 141 	 11.1 	 	 0.1180 	 0.4532 	 0.8441
[2020/08/29 17:54:26] - 142 	 11.2 	 	 0.1160 	 0.4484 	 0.8457
[2020/08/29 17:54:37] - 143 	 11.1 	 	 0.1140 	 0.4497 	 0.8437
[2020/08/29 17:54:48] - 144 	 11.1 	 	 0.1120 	 0.4440 	 0.8453
[2020/08/29 17:54:59] - 145 	 11.1 	 	 0.1100 	 0.4353 	 0.8492
[2020/08/29 17:55:10] - 146 	 11.2 	 	 0.1080 	 0.4343 	 0.8485
[2020/08/29 17:55:21] - 147 	 11.2 	 	 0.1060 	 0.4361 	 0.8484
[2020/08/29 17:55:32] - 148 	 11.1 	 	 0.1040 	 0.4336 	 0.8490
[2020/08/29 17:55:44] - 149 	 11.2 	 	 0.1020 	 0.4226 	 0.8550
