[2020/09/02 16:31:41] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_2', 'seed': 42}
[2020/09/02 16:31:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 16:31:55] - 1 	 10.6 	 	 0.0020 	 1.7807 	 0.3434
[2020/09/02 16:31:56] - == Test loss: 1.4099, Test acc: 0.4874
[2020/09/02 16:32:11] - 2 	 10.3 	 	 0.0040 	 1.2397 	 0.5496
[2020/09/02 16:32:21] - 3 	 10.2 	 	 0.0060 	 0.9490 	 0.6620
[2020/09/02 16:32:32] - 4 	 10.2 	 	 0.0080 	 0.7611 	 0.7332
[2020/09/02 16:32:42] - 5 	 10.4 	 	 0.0100 	 0.6594 	 0.7690
[2020/09/02 16:32:52] - 6 	 10.3 	 	 0.0120 	 0.5814 	 0.7992
[2020/09/02 16:33:03] - 7 	 10.4 	 	 0.0140 	 0.5311 	 0.8154
[2020/09/02 16:33:13] - 8 	 10.3 	 	 0.0160 	 0.4909 	 0.8302
[2020/09/02 16:33:23] - 9 	 10.4 	 	 0.0180 	 0.4581 	 0.8416
[2020/09/02 16:33:34] - 10 	 10.4 	 	 0.0200 	 0.4204 	 0.8565
[2020/09/02 16:33:44] - 11 	 10.3 	 	 0.0220 	 0.4043 	 0.8597
[2020/09/02 16:33:55] - 12 	 10.4 	 	 0.0240 	 0.3868 	 0.8666
[2020/09/02 16:34:05] - 13 	 10.4 	 	 0.0260 	 0.3616 	 0.8736
[2020/09/02 16:34:16] - 14 	 10.6 	 	 0.0280 	 0.3400 	 0.8819
[2020/09/02 16:34:26] - 15 	 10.5 	 	 0.0300 	 0.3309 	 0.8858
[2020/09/02 16:34:36] - 16 	 10.4 	 	 0.0320 	 0.3219 	 0.8902
[2020/09/02 16:34:47] - 17 	 10.4 	 	 0.0340 	 0.3105 	 0.8939
[2020/09/02 16:34:57] - 18 	 10.7 	 	 0.0360 	 0.2982 	 0.8981
[2020/09/02 16:35:08] - 19 	 10.4 	 	 0.0380 	 0.2882 	 0.8996
[2020/09/02 16:35:18] - 20 	 10.4 	 	 0.0400 	 0.2807 	 0.9027
[2020/09/02 16:35:29] - 21 	 10.4 	 	 0.0420 	 0.2656 	 0.9075
[2020/09/02 16:35:39] - 22 	 10.6 	 	 0.0440 	 0.2642 	 0.9078
[2020/09/02 16:35:50] - 23 	 10.4 	 	 0.0460 	 0.2635 	 0.9082
[2020/09/02 16:36:00] - 24 	 10.4 	 	 0.0480 	 0.2519 	 0.9126
[2020/09/02 16:36:10] - 25 	 10.4 	 	 0.0500 	 0.2581 	 0.9109
[2020/09/02 16:36:21] - 26 	 10.4 	 	 0.0520 	 0.2515 	 0.9133
[2020/09/02 16:36:31] - 27 	 10.4 	 	 0.0540 	 0.2534 	 0.9138
[2020/09/02 16:36:42] - 28 	 10.4 	 	 0.0560 	 0.2495 	 0.9142
[2020/09/02 16:36:52] - 29 	 10.4 	 	 0.0580 	 0.2502 	 0.9127
[2020/09/02 16:37:03] - 30 	 10.5 	 	 0.0600 	 0.2492 	 0.9127
[2020/09/02 16:37:13] - 31 	 10.6 	 	 0.0620 	 0.2509 	 0.9146
[2020/09/02 16:37:24] - 32 	 10.4 	 	 0.0640 	 0.2506 	 0.9129
[2020/09/02 16:37:34] - 33 	 10.5 	 	 0.0660 	 0.2537 	 0.9124
[2020/09/02 16:37:45] - 34 	 10.4 	 	 0.0680 	 0.2588 	 0.9111
[2020/09/02 16:37:55] - 35 	 10.4 	 	 0.0700 	 0.2532 	 0.9134
[2020/09/02 16:38:06] - 36 	 10.5 	 	 0.0720 	 0.2507 	 0.9142
