[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:31:41] - 1 	 11.2 	 	 0.0020 	 1.8003 	 0.3309
[2020/09/15 14:31:42] - == Test loss: 1.5485, Test acc: 0.4337
[2020/09/15 14:31:55] - 2 	 11.0 	 	 0.0040 	 1.3343 	 0.5154
[2020/09/15 14:32:06] - 3 	 11.0 	 	 0.0060 	 1.0897 	 0.6081
[2020/09/15 14:32:17] - 4 	 11.1 	 	 0.0080 	 0.9197 	 0.6759
[2020/09/15 14:32:28] - 5 	 11.1 	 	 0.0100 	 0.7920 	 0.7230
[2020/09/15 14:32:39] - 6 	 11.1 	 	 0.0120 	 0.7115 	 0.7520
[2020/09/15 14:32:50] - 7 	 11.1 	 	 0.0140 	 0.6532 	 0.7731
[2020/09/15 14:33:01] - 8 	 11.1 	 	 0.0160 	 0.6114 	 0.7888
[2020/09/15 14:33:13] - 9 	 11.1 	 	 0.0180 	 0.5647 	 0.8048
[2020/09/15 14:33:24] - 10 	 11.2 	 	 0.0200 	 0.5395 	 0.8123
[2020/09/15 14:33:35] - 11 	 11.1 	 	 0.0220 	 0.5051 	 0.8242
[2020/09/15 14:33:46] - 12 	 11.1 	 	 0.0240 	 0.4811 	 0.8326
[2020/09/15 14:33:57] - 13 	 11.1 	 	 0.0260 	 0.4571 	 0.8417
[2020/09/15 14:34:08] - 14 	 11.1 	 	 0.0280 	 0.4364 	 0.8475
[2020/09/15 14:34:19] - 15 	 11.1 	 	 0.0300 	 0.4208 	 0.8543
[2020/09/15 14:34:31] - 16 	 11.1 	 	 0.0320 	 0.4117 	 0.8564
[2020/09/15 14:34:42] - 17 	 11.1 	 	 0.0340 	 0.3984 	 0.8623
[2020/09/15 14:34:53] - 18 	 11.1 	 	 0.0360 	 0.3820 	 0.8681
[2020/09/15 14:35:04] - 19 	 11.1 	 	 0.0380 	 0.3704 	 0.8713
[2020/09/15 14:35:15] - 20 	 11.1 	 	 0.0400 	 0.3656 	 0.8717
[2020/09/15 14:35:26] - 21 	 11.1 	 	 0.0420 	 0.3538 	 0.8762
[2020/09/15 14:35:37] - 22 	 11.1 	 	 0.0440 	 0.3414 	 0.8806
[2020/09/15 14:35:48] - 23 	 11.1 	 	 0.0460 	 0.3364 	 0.8824
[2020/09/15 14:35:59] - 24 	 11.1 	 	 0.0480 	 0.3333 	 0.8853
[2020/09/15 14:36:11] - 25 	 11.1 	 	 0.0500 	 0.3246 	 0.8874
[2020/09/15 14:36:22] - 26 	 11.1 	 	 0.0520 	 0.3247 	 0.8871
[2020/09/15 14:36:33] - 27 	 11.1 	 	 0.0540 	 0.3262 	 0.8867
[2020/09/15 14:36:44] - 28 	 11.1 	 	 0.0560 	 0.3180 	 0.8896
[2020/09/15 14:36:55] - 29 	 11.2 	 	 0.0580 	 0.3214 	 0.8876
[2020/09/15 14:37:06] - 30 	 11.1 	 	 0.0600 	 0.3229 	 0.8878
[2020/09/15 14:37:17] - 31 	 11.1 	 	 0.0620 	 0.3223 	 0.8872
[2020/09/15 14:37:28] - 32 	 11.1 	 	 0.0640 	 0.3179 	 0.8910
[2020/09/15 14:37:39] - 33 	 11.1 	 	 0.0660 	 0.3200 	 0.8902
[2020/09/15 14:37:51] - 34 	 11.1 	 	 0.0680 	 0.3208 	 0.8897
[2020/09/15 14:38:02] - 35 	 11.1 	 	 0.0700 	 0.3282 	 0.8869
[2020/09/15 14:38:13] - 36 	 11.1 	 	 0.0720 	 0.3267 	 0.8876
[2020/09/15 14:38:24] - 37 	 11.1 	 	 0.0740 	 0.3249 	 0.8882
[2020/09/15 14:38:35] - 38 	 11.1 	 	 0.0760 	 0.3256 	 0.8866
[2020/09/15 14:38:46] - 39 	 11.1 	 	 0.0780 	 0.3328 	 0.8836
[2020/09/15 14:38:57] - 40 	 11.1 	 	 0.0800 	 0.3296 	 0.8853
[2020/09/15 14:39:08] - 41 	 11.1 	 	 0.0820 	 0.3307 	 0.8859
[2020/09/15 14:39:19] - 42 	 11.1 	 	 0.0840 	 0.3315 	 0.8858
[2020/09/15 14:39:31] - 43 	 11.1 	 	 0.0860 	 0.3277 	 0.8871
[2020/09/15 14:39:42] - 44 	 11.1 	 	 0.0880 	 0.3290 	 0.8855
[2020/09/15 14:39:53] - 45 	 11.1 	 	 0.0900 	 0.3292 	 0.8884
[2020/09/15 14:40:04] - 46 	 11.1 	 	 0.0920 	 0.3317 	 0.8862
[2020/09/15 14:40:15] - 47 	 11.1 	 	 0.0940 	 0.3337 	 0.8847
[2020/09/15 14:40:26] - 48 	 11.1 	 	 0.0960 	 0.3361 	 0.8844
[2020/09/15 14:40:37] - 49 	 11.1 	 	 0.0980 	 0.3340 	 0.8851
[2020/09/15 14:40:48] - 50 	 11.1 	 	 0.1000 	 0.3395 	 0.8824
[2020/09/15 14:40:59] - 51 	 11.1 	 	 0.1020 	 0.3354 	 0.8845
