[2020/09/15 14:30:52] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_4_0/', 'seed': 0}
[2020/09/15 14:30:55] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:31:06] - 1 	 11.0 	 	 0.0020 	 1.8063 	 0.3320
[2020/09/15 14:31:07] - == Test loss: 1.5527, Test acc: 0.4340
[2020/09/15 14:31:30] - 2 	 10.9 	 	 0.0040 	 1.3097 	 0.5236
[2020/09/15 14:31:41] - 3 	 10.9 	 	 0.0060 	 1.0884 	 0.6084
[2020/09/15 14:31:52] - 4 	 10.9 	 	 0.0080 	 0.9461 	 0.6646
[2020/09/15 14:32:03] - 5 	 10.9 	 	 0.0100 	 0.8367 	 0.7048
[2020/09/15 14:32:13] - 6 	 10.9 	 	 0.0120 	 0.7569 	 0.7344
[2020/09/15 14:32:24] - 7 	 10.9 	 	 0.0140 	 0.7089 	 0.7503
[2020/09/15 14:32:35] - 8 	 11.0 	 	 0.0160 	 0.6672 	 0.7672
[2020/09/15 14:32:46] - 9 	 10.9 	 	 0.0180 	 0.6289 	 0.7788
[2020/09/15 14:32:57] - 10 	 10.9 	 	 0.0200 	 0.5950 	 0.7932
[2020/09/15 14:33:08] - 11 	 11.0 	 	 0.0220 	 0.5692 	 0.8025
[2020/09/15 14:33:19] - 12 	 10.9 	 	 0.0240 	 0.5423 	 0.8104
[2020/09/15 14:33:30] - 13 	 10.9 	 	 0.0260 	 0.5192 	 0.8185
[2020/09/15 14:33:41] - 14 	 10.9 	 	 0.0280 	 0.4998 	 0.8249
[2020/09/15 14:33:52] - 15 	 10.9 	 	 0.0300 	 0.4864 	 0.8306
[2020/09/15 14:34:03] - 16 	 11.0 	 	 0.0320 	 0.4720 	 0.8337
[2020/09/15 14:34:14] - 17 	 10.9 	 	 0.0340 	 0.4601 	 0.8390
[2020/09/15 14:34:25] - 18 	 11.0 	 	 0.0360 	 0.4471 	 0.8431
[2020/09/15 14:34:36] - 19 	 10.9 	 	 0.0380 	 0.4299 	 0.8505
[2020/09/15 14:34:47] - 20 	 10.9 	 	 0.0400 	 0.4233 	 0.8509
[2020/09/15 14:34:58] - 21 	 10.9 	 	 0.0420 	 0.4083 	 0.8554
[2020/09/15 14:35:09] - 22 	 11.0 	 	 0.0440 	 0.4029 	 0.8603
[2020/09/15 14:35:20] - 23 	 10.9 	 	 0.0460 	 0.3971 	 0.8615
[2020/09/15 14:35:31] - 24 	 11.0 	 	 0.0480 	 0.3852 	 0.8658
[2020/09/15 14:35:41] - 25 	 11.0 	 	 0.0500 	 0.3883 	 0.8654
[2020/09/15 14:35:52] - 26 	 10.9 	 	 0.0520 	 0.3820 	 0.8662
[2020/09/15 14:36:03] - 27 	 11.0 	 	 0.0540 	 0.3787 	 0.8678
[2020/09/15 14:36:14] - 28 	 10.9 	 	 0.0560 	 0.3831 	 0.8679
[2020/09/15 14:36:25] - 29 	 10.9 	 	 0.0580 	 0.3766 	 0.8691
[2020/09/15 14:36:36] - 30 	 11.0 	 	 0.0600 	 0.3700 	 0.8720
[2020/09/15 14:36:47] - 31 	 10.9 	 	 0.0620 	 0.3714 	 0.8717
[2020/09/15 14:36:58] - 32 	 11.0 	 	 0.0640 	 0.3724 	 0.8711
[2020/09/15 14:37:09] - 33 	 11.0 	 	 0.0660 	 0.3739 	 0.8705
[2020/09/15 14:37:20] - 34 	 10.9 	 	 0.0680 	 0.3727 	 0.8705
[2020/09/15 14:37:31] - 35 	 10.9 	 	 0.0700 	 0.3778 	 0.8671
[2020/09/15 14:37:42] - 36 	 11.0 	 	 0.0720 	 0.3798 	 0.8681
[2020/09/15 14:37:53] - 37 	 10.9 	 	 0.0740 	 0.3718 	 0.8694
[2020/09/15 14:38:04] - 38 	 11.0 	 	 0.0760 	 0.3779 	 0.8694
[2020/09/15 14:38:15] - 39 	 11.0 	 	 0.0780 	 0.3800 	 0.8688
[2020/09/15 14:38:26] - 40 	 10.9 	 	 0.0800 	 0.3749 	 0.8702
[2020/09/15 14:38:37] - 41 	 10.9 	 	 0.0820 	 0.3770 	 0.8687
[2020/09/15 14:38:48] - 42 	 10.9 	 	 0.0840 	 0.3795 	 0.8682
[2020/09/15 14:38:59] - 43 	 10.9 	 	 0.0860 	 0.3787 	 0.8681
[2020/09/15 14:39:10] - 44 	 10.9 	 	 0.0880 	 0.3811 	 0.8681
[2020/09/15 14:39:20] - 45 	 10.9 	 	 0.0900 	 0.3826 	 0.8676
[2020/09/15 14:39:31] - 46 	 11.0 	 	 0.0920 	 0.3831 	 0.8690
[2020/09/15 14:39:42] - 47 	 11.0 	 	 0.0940 	 0.3783 	 0.8684
[2020/09/15 14:39:53] - 48 	 10.9 	 	 0.0960 	 0.3872 	 0.8673
[2020/09/15 14:40:04] - 49 	 11.0 	 	 0.0980 	 0.3812 	 0.8682
