[2020/08/29 09:11:18] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_shuffle_8', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 8, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_shuffle_8/', 'seed': 42}
[2020/08/29 09:11:22] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/29 09:11:33] - 1 	 11.1 	 	 0.0020 	 1.8992 	 0.3027
[2020/08/29 09:11:34] - == Test loss: 1.7008, Test acc: 0.3848
[2020/08/29 09:11:54] - 2 	 10.9 	 	 0.0040 	 1.4807 	 0.4599
[2020/08/29 09:12:05] - 3 	 10.8 	 	 0.0060 	 1.3311 	 0.5206
[2020/08/29 09:12:16] - 4 	 11.0 	 	 0.0080 	 1.2250 	 0.5598
[2020/08/29 09:12:27] - 5 	 10.9 	 	 0.0100 	 1.1502 	 0.5876
[2020/08/29 09:12:38] - 6 	 11.0 	 	 0.0120 	 1.0962 	 0.6071
[2020/08/29 09:12:49] - 7 	 11.0 	 	 0.0140 	 1.0398 	 0.6299
[2020/08/29 09:13:00] - 8 	 10.9 	 	 0.0160 	 0.9939 	 0.6472
[2020/08/29 09:13:11] - 9 	 11.1 	 	 0.0180 	 0.9420 	 0.6664
[2020/08/29 09:13:22] - 10 	 10.9 	 	 0.0200 	 0.9135 	 0.6771
[2020/08/29 09:13:33] - 11 	 11.1 	 	 0.0220 	 0.8748 	 0.6895
[2020/08/29 09:13:44] - 12 	 11.0 	 	 0.0240 	 0.8457 	 0.7013
[2020/08/29 09:13:55] - 13 	 10.9 	 	 0.0260 	 0.8296 	 0.7058
[2020/08/29 09:14:06] - 14 	 11.6 	 	 0.0280 	 0.7991 	 0.7167
[2020/08/29 09:14:17] - 15 	 11.0 	 	 0.0300 	 0.7804 	 0.7254
[2020/08/29 09:14:28] - 16 	 10.9 	 	 0.0320 	 0.7595 	 0.7320
[2020/08/29 09:14:39] - 17 	 11.0 	 	 0.0340 	 0.7444 	 0.7368
[2020/08/29 09:14:51] - 18 	 11.1 	 	 0.0360 	 0.7272 	 0.7424
[2020/08/29 09:15:01] - 19 	 10.9 	 	 0.0380 	 0.7137 	 0.7478
[2020/08/29 09:15:13] - 20 	 11.8 	 	 0.0400 	 0.7056 	 0.7503
[2020/08/29 09:15:24] - 21 	 10.9 	 	 0.0420 	 0.6856 	 0.7580
[2020/08/29 09:15:35] - 22 	 11.2 	 	 0.0440 	 0.6793 	 0.7591
[2020/08/29 09:15:46] - 23 	 11.0 	 	 0.0460 	 0.6700 	 0.7639
[2020/08/29 09:15:57] - 24 	 10.8 	 	 0.0480 	 0.6552 	 0.7698
[2020/08/29 09:16:08] - 25 	 11.1 	 	 0.0500 	 0.6584 	 0.7681
[2020/08/29 09:16:19] - 26 	 11.0 	 	 0.0520 	 0.6472 	 0.7727
[2020/08/29 09:16:30] - 27 	 10.9 	 	 0.0540 	 0.6428 	 0.7723
[2020/08/29 09:16:42] - 28 	 11.4 	 	 0.0560 	 0.6417 	 0.7718
[2020/08/29 09:16:53] - 29 	 11.0 	 	 0.0580 	 0.6381 	 0.7746
[2020/08/29 09:17:03] - 30 	 10.9 	 	 0.0600 	 0.6322 	 0.7771
[2020/08/29 09:17:14] - 31 	 11.0 	 	 0.0620 	 0.6346 	 0.7758
[2020/08/29 09:17:25] - 32 	 11.0 	 	 0.0640 	 0.6305 	 0.7788
[2020/08/29 09:17:36] - 33 	 10.9 	 	 0.0660 	 0.6336 	 0.7780
[2020/08/29 09:17:47] - 34 	 11.0 	 	 0.0680 	 0.6298 	 0.7791
[2020/08/29 09:17:58] - 35 	 10.9 	 	 0.0700 	 0.6225 	 0.7810
[2020/08/29 09:18:10] - 36 	 11.3 	 	 0.0720 	 0.6241 	 0.7807
[2020/08/29 09:18:21] - 37 	 11.0 	 	 0.0740 	 0.6215 	 0.7807
[2020/08/29 09:18:31] - 38 	 10.9 	 	 0.0760 	 0.6209 	 0.7815
[2020/08/29 09:18:43] - 39 	 11.2 	 	 0.0780 	 0.6205 	 0.7824
[2020/08/29 09:18:54] - 40 	 10.9 	 	 0.0800 	 0.6195 	 0.7830
[2020/08/29 09:19:05] - 41 	 10.9 	 	 0.0820 	 0.6220 	 0.7808
[2020/08/29 09:19:15] - 42 	 10.9 	 	 0.0840 	 0.6206 	 0.7815
[2020/08/29 09:19:26] - 43 	 11.0 	 	 0.0860 	 0.6182 	 0.7836
[2020/08/29 09:19:37] - 44 	 10.9 	 	 0.0880 	 0.6169 	 0.7822
[2020/08/29 09:19:49] - 45 	 11.4 	 	 0.0900 	 0.6173 	 0.7830
[2020/08/29 09:20:00] - 46 	 11.5 	 	 0.0920 	 0.6123 	 0.7850
[2020/08/29 09:20:11] - 47 	 11.0 	 	 0.0940 	 0.6122 	 0.7852
[2020/08/29 09:20:23] - 48 	 11.4 	 	 0.0960 	 0.6112 	 0.7861
[2020/08/29 09:20:34] - 49 	 10.9 	 	 0.0980 	 0.6128 	 0.7833
[2020/08/29 09:20:45] - 50 	 10.9 	 	 0.1000 	 0.6175 	 0.7831
[2020/08/29 09:20:56] - 51 	 11.1 	 	 0.1020 	 0.6096 	 0.7864
[2020/08/29 09:21:07] - 52 	 10.9 	 	 0.1040 	 0.6179 	 0.7832
[2020/08/29 09:21:18] - 53 	 11.0 	 	 0.1060 	 0.6155 	 0.7827
[2020/08/29 09:21:28] - 54 	 11.0 	 	 0.1080 	 0.6153 	 0.7835
[2020/08/29 09:21:39] - 55 	 10.9 	 	 0.1100 	 0.6162 	 0.7844
[2020/08/29 09:21:51] - 56 	 11.9 	 	 0.1120 	 0.6186 	 0.7820
[2020/08/29 09:22:02] - 57 	 10.9 	 	 0.1140 	 0.6183 	 0.7863
[2020/08/29 09:22:13] - 58 	 10.9 	 	 0.1160 	 0.6138 	 0.7850
[2020/08/29 09:22:24] - 59 	 11.0 	 	 0.1180 	 0.6156 	 0.7845
[2020/08/29 09:22:35] - 60 	 10.9 	 	 0.1200 	 0.6175 	 0.7839
[2020/08/29 09:22:46] - 61 	 11.2 	 	 0.1220 	 0.6174 	 0.7849
[2020/08/29 09:22:57] - 62 	 11.2 	 	 0.1240 	 0.6160 	 0.7851
[2020/08/29 09:23:08] - 63 	 10.9 	 	 0.1260 	 0.6225 	 0.7806
[2020/08/29 09:23:20] - 64 	 11.3 	 	 0.1280 	 0.6245 	 0.7805
[2020/08/29 09:23:31] - 65 	 11.0 	 	 0.1300 	 0.6198 	 0.7804
[2020/08/29 09:23:42] - 66 	 10.9 	 	 0.1320 	 0.6175 	 0.7849
[2020/08/29 09:23:53] - 67 	 11.3 	 	 0.1340 	 0.6209 	 0.7828
[2020/08/29 09:24:04] - 68 	 11.0 	 	 0.1360 	 0.6274 	 0.7808
[2020/08/29 09:24:15] - 69 	 10.9 	 	 0.1380 	 0.6263 	 0.7799
[2020/08/29 09:24:26] - 70 	 11.5 	 	 0.1400 	 0.6245 	 0.7806
[2020/08/29 09:24:37] - 71 	 10.9 	 	 0.1420 	 0.6272 	 0.7803
[2020/08/29 09:24:48] - 72 	 11.0 	 	 0.1440 	 0.6237 	 0.7819
[2020/08/29 09:25:00] - 73 	 11.5 	 	 0.1460 	 0.6309 	 0.7785
[2020/08/29 09:25:11] - 74 	 10.9 	 	 0.1480 	 0.6364 	 0.7766
[2020/08/29 09:25:21] - 75 	 10.9 	 	 0.1500 	 0.6264 	 0.7819
[2020/08/29 09:25:32] - 76 	 11.0 	 	 0.1520 	 0.6329 	 0.7797
[2020/08/29 09:25:43] - 77 	 10.9 	 	 0.1540 	 0.6344 	 0.7774
[2020/08/29 09:25:54] - 78 	 10.9 	 	 0.1560 	 0.6327 	 0.7785
[2020/08/29 09:26:05] - 79 	 10.9 	 	 0.1580 	 0.6338 	 0.7795
[2020/08/29 09:26:16] - 80 	 10.9 	 	 0.1600 	 0.6378 	 0.7760
[2020/08/29 09:26:27] - 81 	 11.0 	 	 0.1620 	 0.6401 	 0.7745
[2020/08/29 09:26:39] - 82 	 11.4 	 	 0.1640 	 0.6382 	 0.7766
[2020/08/29 09:26:49] - 83 	 10.9 	 	 0.1660 	 0.6375 	 0.7767
[2020/08/29 09:27:00] - 84 	 11.0 	 	 0.1680 	 0.6346 	 0.7779
[2020/08/29 09:27:11] - 85 	 10.9 	 	 0.1700 	 0.6342 	 0.7768
[2020/08/29 09:27:22] - 86 	 10.9 	 	 0.1720 	 0.6429 	 0.7732
[2020/08/29 09:27:33] - 87 	 11.2 	 	 0.1740 	 0.6389 	 0.7763
[2020/08/29 09:27:44] - 88 	 10.9 	 	 0.1760 	 0.6395 	 0.7756
[2020/08/29 09:27:55] - 89 	 10.9 	 	 0.1780 	 0.6412 	 0.7752
[2020/08/29 09:28:07] - 90 	 11.3 	 	 0.1800 	 0.6382 	 0.7734
[2020/08/29 09:28:17] - 91 	 10.9 	 	 0.1820 	 0.6500 	 0.7716
[2020/08/29 09:28:28] - 92 	 11.0 	 	 0.1840 	 0.6430 	 0.7752
[2020/08/29 09:28:39] - 93 	 11.0 	 	 0.1860 	 0.6443 	 0.7766
[2020/08/29 09:28:50] - 94 	 10.9 	 	 0.1880 	 0.6481 	 0.7730
[2020/08/29 09:29:01] - 95 	 10.9 	 	 0.1900 	 0.6484 	 0.7731
[2020/08/29 09:29:13] - 96 	 12.2 	 	 0.1920 	 0.6465 	 0.7736
[2020/08/29 09:29:24] - 97 	 10.9 	 	 0.1940 	 0.6562 	 0.7698
[2020/08/29 09:29:35] - 98 	 10.9 	 	 0.1960 	 0.6527 	 0.7731
[2020/08/29 09:29:46] - 99 	 10.9 	 	 0.1980 	 0.6526 	 0.7709
[2020/08/29 09:29:57] - 100 	 10.9 	 	 0.2000 	 0.6517 	 0.7729
[2020/08/29 09:29:58] - == Test loss: 0.7806, Test acc: 0.7359
[2020/08/29 09:30:15] - 101 	 11.3 	 	 0.1980 	 0.6523 	 0.7705
[2020/08/29 09:30:28] - 102 	 12.1 	 	 0.1960 	 0.6562 	 0.7711
[2020/08/29 09:30:39] - 103 	 11.0 	 	 0.1940 	 0.6467 	 0.7744
[2020/08/29 09:30:49] - 104 	 10.9 	 	 0.1920 	 0.6460 	 0.7717
[2020/08/29 09:31:01] - 105 	 11.1 	 	 0.1900 	 0.6474 	 0.7735
[2020/08/29 09:31:12] - 106 	 11.4 	 	 0.1880 	 0.6445 	 0.7735
[2020/08/29 09:31:23] - 107 	 11.0 	 	 0.1860 	 0.6421 	 0.7747
[2020/08/29 09:31:34] - 108 	 11.1 	 	 0.1840 	 0.6375 	 0.7786
[2020/08/29 09:31:45] - 109 	 10.9 	 	 0.1820 	 0.6369 	 0.7756
[2020/08/29 09:31:56] - 110 	 10.8 	 	 0.1800 	 0.6394 	 0.7746
[2020/08/29 09:32:07] - 111 	 11.2 	 	 0.1780 	 0.6321 	 0.7789
[2020/08/29 09:32:18] - 112 	 11.0 	 	 0.1760 	 0.6328 	 0.7798
[2020/08/29 09:32:29] - 113 	 10.9 	 	 0.1740 	 0.6275 	 0.7800
[2020/08/29 09:32:40] - 114 	 10.9 	 	 0.1720 	 0.6286 	 0.7785
[2020/08/29 09:32:51] - 115 	 10.9 	 	 0.1700 	 0.6328 	 0.7783
[2020/08/29 09:33:02] - 116 	 11.0 	 	 0.1680 	 0.6247 	 0.7823
[2020/08/29 09:33:13] - 117 	 10.9 	 	 0.1660 	 0.6233 	 0.7828
[2020/08/29 09:33:23] - 118 	 10.9 	 	 0.1640 	 0.6194 	 0.7844
[2020/08/29 09:33:35] - 119 	 11.2 	 	 0.1620 	 0.6175 	 0.7843
[2020/08/29 09:33:45] - 120 	 10.9 	 	 0.1600 	 0.6209 	 0.7842
[2020/08/29 09:33:56] - 121 	 10.9 	 	 0.1580 	 0.6149 	 0.7850
[2020/08/29 09:34:07] - 122 	 10.9 	 	 0.1560 	 0.6128 	 0.7848
[2020/08/29 09:34:18] - 123 	 10.9 	 	 0.1540 	 0.6134 	 0.7853
[2020/08/29 09:34:29] - 124 	 10.9 	 	 0.1520 	 0.6083 	 0.7873
[2020/08/29 09:34:40] - 125 	 10.9 	 	 0.1500 	 0.6022 	 0.7889
[2020/08/29 09:34:51] - 126 	 11.0 	 	 0.1480 	 0.5999 	 0.7894
[2020/08/29 09:35:02] - 127 	 10.9 	 	 0.1460 	 0.6023 	 0.7905
[2020/08/29 09:35:13] - 128 	 10.9 	 	 0.1440 	 0.5982 	 0.7913
[2020/08/29 09:35:24] - 129 	 10.8 	 	 0.1420 	 0.5926 	 0.7920
[2020/08/29 09:35:35] - 130 	 11.0 	 	 0.1400 	 0.5928 	 0.7937
[2020/08/29 09:35:46] - 131 	 11.5 	 	 0.1380 	 0.5920 	 0.7930
[2020/08/29 09:35:57] - 132 	 10.9 	 	 0.1360 	 0.5845 	 0.7962
[2020/08/29 09:36:08] - 133 	 11.0 	 	 0.1340 	 0.5835 	 0.7948
[2020/08/29 09:36:19] - 134 	 11.3 	 	 0.1320 	 0.5846 	 0.7953
[2020/08/29 09:36:30] - 135 	 10.9 	 	 0.1300 	 0.5800 	 0.7970
[2020/08/29 09:36:41] - 136 	 10.9 	 	 0.1280 	 0.5765 	 0.7967
[2020/08/29 09:36:52] - 137 	 11.0 	 	 0.1260 	 0.5718 	 0.8012
[2020/08/29 09:37:03] - 138 	 10.8 	 	 0.1240 	 0.5716 	 0.7987
[2020/08/29 09:37:14] - 139 	 11.0 	 	 0.1220 	 0.5639 	 0.8024
[2020/08/29 09:37:25] - 140 	 10.9 	 	 0.1200 	 0.5628 	 0.8034
[2020/08/29 09:37:35] - 141 	 10.8 	 	 0.1180 	 0.5615 	 0.8044
[2020/08/29 09:37:46] - 142 	 11.0 	 	 0.1160 	 0.5583 	 0.8049
[2020/08/29 09:37:57] - 143 	 10.8 	 	 0.1140 	 0.5552 	 0.8042
[2020/08/29 09:38:09] - 144 	 12.1 	 	 0.1120 	 0.5481 	 0.8074
[2020/08/29 09:38:20] - 145 	 11.0 	 	 0.1100 	 0.5450 	 0.8097
[2020/08/29 09:38:31] - 146 	 10.9 	 	 0.1080 	 0.5398 	 0.8101
[2020/08/29 09:38:42] - 147 	 10.9 	 	 0.1060 	 0.5423 	 0.8105
[2020/08/29 09:38:53] - 148 	 10.9 	 	 0.1040 	 0.5341 	 0.8135
[2020/08/29 09:39:04] - 149 	 10.9 	 	 0.1020 	 0.5318 	 0.8144
[2020/08/29 09:39:15] - 150 	 10.9 	 	 0.1000 	 0.5267 	 0.8150
[2020/08/29 09:39:26] - 151 	 10.9 	 	 0.0980 	 0.5288 	 0.8149
[2020/08/29 09:39:37] - 152 	 10.9 	 	 0.0960 	 0.5218 	 0.8174
[2020/08/29 09:39:48] - 153 	 11.4 	 	 0.0940 	 0.5151 	 0.8181
[2020/08/29 09:39:59] - 154 	 10.9 	 	 0.0920 	 0.5174 	 0.8192
[2020/08/29 09:40:10] - 155 	 10.9 	 	 0.0900 	 0.5141 	 0.8190
[2020/08/29 09:40:21] - 156 	 11.3 	 	 0.0880 	 0.5037 	 0.8242
[2020/08/29 09:40:32] - 157 	 10.9 	 	 0.0860 	 0.5032 	 0.8229
[2020/08/29 09:40:43] - 158 	 11.1 	 	 0.0840 	 0.4928 	 0.8273
[2020/08/29 09:40:54] - 159 	 11.0 	 	 0.0820 	 0.4931 	 0.8257
[2020/08/29 09:41:05] - 160 	 10.9 	 	 0.0800 	 0.4865 	 0.8276
[2020/08/29 09:41:16] - 161 	 10.9 	 	 0.0780 	 0.4814 	 0.8325
[2020/08/29 09:41:27] - 162 	 10.9 	 	 0.0760 	 0.4779 	 0.8319
[2020/08/29 09:41:38] - 163 	 10.8 	 	 0.0740 	 0.4730 	 0.8336
[2020/08/29 09:41:49] - 164 	 11.2 	 	 0.0720 	 0.4655 	 0.8365
[2020/08/29 09:42:00] - 165 	 11.0 	 	 0.0700 	 0.4648 	 0.8361
[2020/08/29 09:42:11] - 166 	 10.9 	 	 0.0680 	 0.4493 	 0.8424
[2020/08/29 09:42:22] - 167 	 11.0 	 	 0.0660 	 0.4443 	 0.8445
[2020/08/29 09:42:33] - 168 	 10.9 	 	 0.0640 	 0.4413 	 0.8445
[2020/08/29 09:42:44] - 169 	 10.9 	 	 0.0620 	 0.4392 	 0.8439
[2020/08/29 09:42:55] - 170 	 11.3 	 	 0.0600 	 0.4274 	 0.8485
[2020/08/29 09:43:06] - 171 	 10.9 	 	 0.0580 	 0.4238 	 0.8498
[2020/08/29 09:43:17] - 172 	 10.9 	 	 0.0560 	 0.4179 	 0.8526
[2020/08/29 09:43:28] - 173 	 10.9 	 	 0.0540 	 0.4076 	 0.8563
[2020/08/29 09:43:38] - 174 	 10.8 	 	 0.0520 	 0.4058 	 0.8564
[2020/08/29 09:43:49] - 175 	 10.9 	 	 0.0500 	 0.3947 	 0.8610
[2020/08/29 09:44:01] - 176 	 11.3 	 	 0.0480 	 0.3837 	 0.8644
[2020/08/29 09:44:11] - 177 	 10.9 	 	 0.0460 	 0.3718 	 0.8683
[2020/08/29 09:44:23] - 178 	 11.1 	 	 0.0440 	 0.3654 	 0.8703
[2020/08/29 09:44:34] - 179 	 11.0 	 	 0.0420 	 0.3572 	 0.8734
[2020/08/29 09:44:44] - 180 	 10.9 	 	 0.0400 	 0.3445 	 0.8776
[2020/08/29 09:44:55] - 181 	 10.9 	 	 0.0380 	 0.3303 	 0.8839
[2020/08/29 09:45:06] - 182 	 10.8 	 	 0.0360 	 0.3260 	 0.8853
[2020/08/29 09:45:17] - 183 	 10.9 	 	 0.0340 	 0.3162 	 0.8889
[2020/08/29 09:45:28] - 184 	 10.9 	 	 0.0320 	 0.2996 	 0.8941
[2020/08/29 09:45:39] - 185 	 10.8 	 	 0.0300 	 0.2834 	 0.8998
[2020/08/29 09:45:50] - 186 	 11.0 	 	 0.0280 	 0.2801 	 0.9008
[2020/08/29 09:46:01] - 187 	 11.0 	 	 0.0260 	 0.2584 	 0.9099
[2020/08/29 09:46:12] - 188 	 10.9 	 	 0.0240 	 0.2432 	 0.9140
[2020/08/29 09:46:23] - 189 	 11.3 	 	 0.0220 	 0.2257 	 0.9203
[2020/08/29 09:46:34] - 190 	 11.0 	 	 0.0200 	 0.2122 	 0.9251
[2020/08/29 09:46:45] - 191 	 10.8 	 	 0.0180 	 0.1878 	 0.9340
[2020/08/29 09:46:56] - 192 	 11.5 	 	 0.0160 	 0.1774 	 0.9378
[2020/08/29 09:47:08] - 193 	 12.0 	 	 0.0140 	 0.1536 	 0.9462
[2020/08/29 09:47:19] - 194 	 10.9 	 	 0.0120 	 0.1295 	 0.9553
[2020/08/29 09:47:30] - 195 	 11.1 	 	 0.0100 	 0.1118 	 0.9622
[2020/08/29 09:47:41] - 196 	 10.9 	 	 0.0080 	 0.0872 	 0.9712
