[2020/08/30 09:59:40] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_taran', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 32, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_taran/', 'seed': 42}
[2020/08/30 09:59:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/30 09:59:55] - 1 	 11.7 	 	 0.0020 	 2.0546 	 0.2486
[2020/08/30 09:59:56] - == Test loss: 1.8166, Test acc: 0.3360
[2020/08/30 10:00:10] - 2 	 10.9 	 	 0.0040 	 1.7478 	 0.3622
[2020/08/30 10:00:21] - 3 	 10.8 	 	 0.0060 	 1.6621 	 0.3959
[2020/08/30 10:00:32] - 4 	 10.8 	 	 0.0080 	 1.6121 	 0.4168
[2020/08/30 10:00:43] - 5 	 10.9 	 	 0.0100 	 1.5753 	 0.4291
[2020/08/30 10:00:54] - 6 	 10.9 	 	 0.0120 	 1.5464 	 0.4424
[2020/08/30 10:01:05] - 7 	 10.9 	 	 0.0140 	 1.5185 	 0.4516
[2020/08/30 10:01:15] - 8 	 10.9 	 	 0.0160 	 1.4998 	 0.4586
[2020/08/30 10:01:26] - 9 	 10.9 	 	 0.0180 	 1.4786 	 0.4663
[2020/08/30 10:01:37] - 10 	 10.9 	 	 0.0200 	 1.4617 	 0.4747
[2020/08/30 10:01:48] - 11 	 10.9 	 	 0.0220 	 1.4443 	 0.4784
[2020/08/30 10:01:59] - 12 	 11.0 	 	 0.0240 	 1.4321 	 0.4822
[2020/08/30 10:02:10] - 13 	 11.0 	 	 0.0260 	 1.4242 	 0.4880
[2020/08/30 10:02:21] - 14 	 10.9 	 	 0.0280 	 1.4118 	 0.4906
[2020/08/30 10:02:32] - 15 	 10.9 	 	 0.0300 	 1.4052 	 0.4930
[2020/08/30 10:02:43] - 16 	 11.1 	 	 0.0320 	 1.3969 	 0.4982
[2020/08/30 10:02:54] - 17 	 10.9 	 	 0.0340 	 1.3832 	 0.5040
[2020/08/30 10:03:05] - 18 	 10.9 	 	 0.0360 	 1.3779 	 0.5062
[2020/08/30 10:03:16] - 19 	 10.9 	 	 0.0380 	 1.3704 	 0.5091
[2020/08/30 10:03:27] - 20 	 11.0 	 	 0.0400 	 1.3655 	 0.5088
[2020/08/30 10:03:38] - 21 	 10.9 	 	 0.0420 	 1.3579 	 0.5106
[2020/08/30 10:03:49] - 22 	 10.9 	 	 0.0440 	 1.3490 	 0.5155
[2020/08/30 10:04:00] - 23 	 10.9 	 	 0.0460 	 1.3499 	 0.5141
[2020/08/30 10:04:10] - 24 	 10.9 	 	 0.0480 	 1.3398 	 0.5203
[2020/08/30 10:04:21] - 25 	 10.9 	 	 0.0500 	 1.3355 	 0.5207
[2020/08/30 10:04:32] - 26 	 10.9 	 	 0.0520 	 1.3296 	 0.5187
[2020/08/30 10:04:43] - 27 	 10.9 	 	 0.0540 	 1.3322 	 0.5201
[2020/08/30 10:04:54] - 28 	 10.9 	 	 0.0560 	 1.3275 	 0.5247
[2020/08/30 10:05:05] - 29 	 10.9 	 	 0.0580 	 1.3255 	 0.5236
[2020/08/30 10:05:16] - 30 	 10.9 	 	 0.0600 	 1.3230 	 0.5247
[2020/08/30 10:05:27] - 31 	 10.9 	 	 0.0620 	 1.3206 	 0.5263
[2020/08/30 10:05:38] - 32 	 10.9 	 	 0.0640 	 1.3206 	 0.5269
[2020/08/30 10:05:49] - 33 	 10.9 	 	 0.0660 	 1.3179 	 0.5264
[2020/08/30 10:06:00] - 34 	 11.4 	 	 0.0680 	 1.3174 	 0.5268
[2020/08/30 10:06:11] - 35 	 10.9 	 	 0.0700 	 1.3166 	 0.5277
[2020/08/30 10:06:22] - 36 	 10.9 	 	 0.0720 	 1.3164 	 0.5280
[2020/08/30 10:06:33] - 37 	 11.0 	 	 0.0740 	 1.3166 	 0.5281
[2020/08/30 10:06:44] - 38 	 10.9 	 	 0.0760 	 1.3161 	 0.5283
[2020/08/30 10:06:55] - 39 	 10.9 	 	 0.0780 	 1.3207 	 0.5275
[2020/08/30 10:07:06] - 40 	 10.9 	 	 0.0800 	 1.3146 	 0.5304
[2020/08/30 10:07:17] - 41 	 10.9 	 	 0.0820 	 1.3117 	 0.5272
[2020/08/30 10:07:27] - 42 	 10.9 	 	 0.0840 	 1.3128 	 0.5268
[2020/08/30 10:07:38] - 43 	 10.9 	 	 0.0860 	 1.3081 	 0.5310
[2020/08/30 10:07:49] - 44 	 10.9 	 	 0.0880 	 1.3116 	 0.5332
[2020/08/30 10:08:00] - 45 	 10.9 	 	 0.0900 	 1.3087 	 0.5327
[2020/08/30 10:08:11] - 46 	 10.9 	 	 0.0920 	 1.3087 	 0.5309
[2020/08/30 10:08:22] - 47 	 10.9 	 	 0.0940 	 1.3093 	 0.5298
[2020/08/30 10:08:33] - 48 	 10.9 	 	 0.0960 	 1.3065 	 0.5325
[2020/08/30 10:08:44] - 49 	 10.9 	 	 0.0980 	 1.3101 	 0.5313
[2020/08/30 10:08:55] - 50 	 10.9 	 	 0.1000 	 1.3083 	 0.5336
[2020/08/30 10:09:06] - 51 	 11.0 	 	 0.1020 	 1.3059 	 0.5323
[2020/08/30 10:09:17] - 52 	 10.9 	 	 0.1040 	 1.3072 	 0.5322
[2020/08/30 10:09:28] - 53 	 10.9 	 	 0.1060 	 1.3045 	 0.5324
[2020/08/30 10:09:39] - 54 	 11.0 	 	 0.1080 	 1.3092 	 0.5320
[2020/08/30 10:09:50] - 55 	 10.9 	 	 0.1100 	 1.3033 	 0.5322
[2020/08/30 10:10:00] - 56 	 10.9 	 	 0.1120 	 1.3082 	 0.5294
[2020/08/30 10:10:11] - 57 	 10.9 	 	 0.1140 	 1.3061 	 0.5327
[2020/08/30 10:10:22] - 58 	 10.9 	 	 0.1160 	 1.3032 	 0.5334
[2020/08/30 10:10:33] - 59 	 10.9 	 	 0.1180 	 1.3013 	 0.5332
[2020/08/30 10:10:44] - 60 	 10.9 	 	 0.1200 	 1.3056 	 0.5316
[2020/08/30 10:10:55] - 61 	 10.9 	 	 0.1220 	 1.3054 	 0.5330
[2020/08/30 10:11:06] - 62 	 10.9 	 	 0.1240 	 1.3039 	 0.5341
[2020/08/30 10:11:17] - 63 	 10.9 	 	 0.1260 	 1.3029 	 0.5344
[2020/08/30 10:11:28] - 64 	 10.9 	 	 0.1280 	 1.3107 	 0.5340
[2020/08/30 10:11:39] - 65 	 10.9 	 	 0.1300 	 1.3067 	 0.5326
[2020/08/30 10:11:50] - 66 	 10.9 	 	 0.1320 	 1.3050 	 0.5338
[2020/08/30 10:12:00] - 67 	 10.9 	 	 0.1340 	 1.3019 	 0.5343
[2020/08/30 10:12:12] - 68 	 11.2 	 	 0.1360 	 1.3034 	 0.5349
[2020/08/30 10:12:23] - 69 	 11.1 	 	 0.1380 	 1.3068 	 0.5313
[2020/08/30 10:12:34] - 70 	 10.9 	 	 0.1400 	 1.3059 	 0.5332
[2020/08/30 10:12:44] - 71 	 10.9 	 	 0.1420 	 1.3067 	 0.5310
[2020/08/30 10:12:55] - 72 	 10.9 	 	 0.1440 	 1.3061 	 0.5305
[2020/08/30 10:13:06] - 73 	 10.9 	 	 0.1460 	 1.3087 	 0.5321
[2020/08/30 10:13:18] - 74 	 11.5 	 	 0.1480 	 1.3110 	 0.5311
[2020/08/30 10:13:29] - 75 	 10.9 	 	 0.1500 	 1.3068 	 0.5320
[2020/08/30 10:13:40] - 76 	 10.9 	 	 0.1520 	 1.3060 	 0.5334
[2020/08/30 10:13:50] - 77 	 10.9 	 	 0.1540 	 1.3065 	 0.5321
[2020/08/30 10:14:01] - 78 	 10.9 	 	 0.1560 	 1.3089 	 0.5307
[2020/08/30 10:14:12] - 79 	 10.9 	 	 0.1580 	 1.3083 	 0.5297
[2020/08/30 10:14:23] - 80 	 10.9 	 	 0.1600 	 1.3073 	 0.5326
[2020/08/30 10:14:34] - 81 	 10.9 	 	 0.1620 	 1.3049 	 0.5341
[2020/08/30 10:14:45] - 82 	 11.0 	 	 0.1640 	 1.3087 	 0.5317
[2020/08/30 10:14:56] - 83 	 10.9 	 	 0.1660 	 1.3098 	 0.5312
[2020/08/30 10:15:07] - 84 	 10.9 	 	 0.1680 	 1.3115 	 0.5314
